season,round,race_name,driver_id,stop,lap,time,duration_s,is_red_flag_hold
2024,1,Bahrain Grand Prix,hulkenberg,1,1,18:05:33,36.604,False
2024,1,Bahrain Grand Prix,zhou,1,9,18:18:39,25.208,False
2024,1,Bahrain Grand Prix,stroll,1,9,18:18:42,24.418,False
2024,1,Bahrain Grand Prix,ocon,1,10,18:20:20,24.877,False
2024,1,Bahrain Grand Prix,sargeant,1,10,18:21:19,35.729,False
2024,1,Bahrain Grand Prix,russell,1,11,18:21:38,24.778,False
2024,1,Bahrain Grand Prix,leclerc,1,11,18:21:41,24.069,False
2024,1,Bahrain Grand Prix,kevin_magnussen,1,11,18:21:55,25.951,False
2024,1,Bahrain Grand Prix,perez,1,12,18:23:16,24.516,False
2024,1,Bahrain Grand Prix,piastri,1,12,18:23:24,25.45,False
2024,1,Bahrain Grand Prix,hamilton,1,12,18:23:26,25.087,False
2024,1,Bahrain Grand Prix,gasly,1,12,18:23:38,29.98,False
2024,1,Bahrain Grand Prix,bottas,1,12,18:23:42,26.42,False
2024,1,Bahrain Grand Prix,norris,1,13,18:25:00,24.205,False
2024,1,Bahrain Grand Prix,ricciardo,1,13,18:25:17,24.988,False
2024,1,Bahrain Grand Prix,sainz,1,14,18:26:32,24.474,False
2024,1,Bahrain Grand Prix,tsunoda,1,14,18:26:47,24.724,False
2024,1,Bahrain Grand Prix,alonso,1,15,18:28:24,24.786,False
2024,1,Bahrain Grand Prix,albon,1,15,18:28:29,24.681,False
2024,1,Bahrain Grand Prix,max_verstappen,1,17,18:31:12,25.064,False
2024,1,Bahrain Grand Prix,hulkenberg,2,20,18:37:08,24.768,False
2024,1,Bahrain Grand Prix,stroll,2,27,18:48:25,24.545,False
2024,1,Bahrain Grand Prix,zhou,2,28,18:49:59,25.094,False
2024,1,Bahrain Grand Prix,sargeant,2,28,18:51:33,25.07,False
2024,1,Bahrain Grand Prix,ocon,2,30,18:53:30,25.145,False
2024,1,Bahrain Grand Prix,bottas,2,30,18:53:32,74.773,True
2024,1,Bahrain Grand Prix,russell,2,31,18:54:21,24.866,False
2024,1,Bahrain Grand Prix,gasly,2,31,18:55:10,26.462,False
2024,1,Bahrain Grand Prix,kevin_magnussen,2,32,18:56:37,24.446,False
2024,1,Bahrain Grand Prix,norris,2,33,18:57:39,24.705,False
2024,1,Bahrain Grand Prix,hamilton,2,33,18:57:45,24.094,False
2024,1,Bahrain Grand Prix,leclerc,2,34,18:59:13,24.136,False
2024,1,Bahrain Grand Prix,piastri,2,34,18:59:20,24.852,False
2024,1,Bahrain Grand Prix,tsunoda,2,34,18:59:47,24.324,False
2024,1,Bahrain Grand Prix,sainz,2,35,19:00:38,23.866,False
2024,1,Bahrain Grand Prix,ricciardo,2,35,19:01:34,24.856,False
2024,1,Bahrain Grand Prix,perez,2,36,19:02:12,24.563,False
2024,1,Bahrain Grand Prix,albon,2,36,19:03:09,24.61,False
2024,1,Bahrain Grand Prix,max_verstappen,2,37,19:03:29,24.209,False
2024,1,Bahrain Grand Prix,sargeant,3,40,19:11:22,25.346,False
2024,1,Bahrain Grand Prix,alonso,2,41,19:10:58,25.109,False
2024,1,Bahrain Grand Prix,hulkenberg,3,41,19:11:29,24.387,False
2024,1,Bahrain Grand Prix,gasly,3,43,19:14:55,25.24,False
2024,2,Saudi Arabian Grand Prix,max_verstappen,1,7,20:15:25,20.607,False
2024,2,Saudi Arabian Grand Prix,perez,1,7,20:15:30,22.196,False
2024,2,Saudi Arabian Grand Prix,leclerc,1,7,20:15:31,23.419,False
2024,2,Saudi Arabian Grand Prix,piastri,1,7,20:15:36,21.427,False
2024,2,Saudi Arabian Grand Prix,alonso,1,7,20:15:37,22.129,False
2024,2,Saudi Arabian Grand Prix,russell,1,7,20:15:42,21.013,False
2024,2,Saudi Arabian Grand Prix,bearman,1,7,20:15:51,22.457,False
2024,2,Saudi Arabian Grand Prix,tsunoda,1,7,20:15:51,21.694,False
2024,2,Saudi Arabian Grand Prix,albon,1,7,20:15:53,21.723,False
2024,2,Saudi Arabian Grand Prix,kevin_magnussen,1,7,20:15:53,21.46,False
2024,2,Saudi Arabian Grand Prix,ricciardo,1,7,20:15:57,63.364,True
2024,2,Saudi Arabian Grand Prix,ocon,1,7,20:15:59,22.502,False
2024,2,Saudi Arabian Grand Prix,bottas,1,7,20:16:00,22.795,False
2024,2,Saudi Arabian Grand Prix,sargeant,1,7,20:16:01,23.645,False
2024,2,Saudi Arabian Grand Prix,hulkenberg,1,33,20:59:21,21.035,False
2024,2,Saudi Arabian Grand Prix,bottas,2,35,21:02:58,23.281,False
2024,2,Saudi Arabian Grand Prix,hamilton,1,36,21:03:38,20.17,False
2024,2,Saudi Arabian Grand Prix,norris,1,37,21:05:08,22.211,False
2024,2,Saudi Arabian Grand Prix,zhou,1,41,21:12:03,46.381,False
2024,3,Australian Grand Prix,ricciardo,1,5,15:10:25,18.265,False
2024,3,Australian Grand Prix,albon,1,6,15:11:45,17.755,False
2024,3,Australian Grand Prix,zhou,1,6,15:11:49,19.032,False
2024,3,Australian Grand Prix,hamilton,1,7,15:13:04,17.596,False
2024,3,Australian Grand Prix,kevin_magnussen,1,7,15:13:08,18.301,False
2024,3,Australian Grand Prix,russell,1,8,15:14:23,18.046,False
2024,3,Australian Grand Prix,stroll,1,8,15:14:26,17.901,False
2024,3,Australian Grand Prix,bottas,1,8,15:14:30,46.969,False
2024,3,Australian Grand Prix,leclerc,1,9,15:15:42,17.409,False
2024,3,Australian Grand Prix,piastri,1,9,15:15:43,17.573,False
2024,3,Australian Grand Prix,tsunoda,1,9,15:15:50,18.523,False
2024,3,Australian Grand Prix,ocon,1,9,15:15:55,18.287,False
2024,3,Australian Grand Prix,norris,1,14,15:22:37,17.776,False
2024,3,Australian Grand Prix,perez,1,14,15:22:45,18.112,False
2024,3,Australian Grand Prix,sainz,1,16,15:25:14,17.599,False
2024,3,Australian Grand Prix,ocon,2,16,15:25:58,30.626,False
2024,3,Australian Grand Prix,alonso,1,17,15:27:06,18.16,False
2024,3,Australian Grand Prix,hulkenberg,1,17,15:27:28,18.32,False
2024,3,Australian Grand Prix,gasly,1,17,15:27:32,20.316,False
2024,3,Australian Grand Prix,albon,2,27,15:41:35,17.745,False
2024,3,Australian Grand Prix,ricciardo,2,29,15:44:29,17.751,False
2024,3,Australian Grand Prix,kevin_magnussen,2,33,15:49:58,18.151,False
2024,3,Australian Grand Prix,leclerc,2,34,15:50:35,17.308,False
2024,3,Australian Grand Prix,perez,2,35,15:52:18,17.222,False
2024,3,Australian Grand Prix,hulkenberg,2,35,15:52:40,18.145,False
2024,3,Australian Grand Prix,zhou,2,35,15:52:50,36.866,False
2024,3,Australian Grand Prix,tsunoda,2,36,15:53:59,17.535,False
2024,3,Australian Grand Prix,bottas,2,36,15:54:30,18.938,False
2024,3,Australian Grand Prix,stroll,2,37,15:55:19,17.977,False
2024,3,Australian Grand Prix,piastri,2,39,15:57:32,18.533,False
2024,3,Australian Grand Prix,norris,2,40,15:58:46,17.653,False
2024,3,Australian Grand Prix,sainz,2,41,15:59:57,17.74,False
2024,3,Australian Grand Prix,alonso,2,41,16:00:37,17.995,False
2024,3,Australian Grand Prix,gasly,2,41,16:01:21,17.682,False
2024,3,Australian Grand Prix,ocon,3,42,16:02:51,18.007,False
2024,3,Australian Grand Prix,russell,2,45,16:06:07,17.964,False
2024,4,Japanese Grand Prix,max_verstappen,1,1,14:05:50,1575.603,True
2024,4,Japanese Grand Prix,perez,1,1,14:05:52,1577.661,True
2024,4,Japanese Grand Prix,norris,1,1,14:05:54,1580.116,True
2024,4,Japanese Grand Prix,sainz,1,1,14:05:57,1580.097,True
2024,4,Japanese Grand Prix,alonso,1,1,14:06:00,1580.924,True
2024,4,Japanese Grand Prix,piastri,1,1,14:06:03,1580.204,True
2024,4,Japanese Grand Prix,hamilton,1,1,14:06:12,1580.696,True
2024,4,Japanese Grand Prix,leclerc,1,1,14:06:13,1583.333,True
2024,4,Japanese Grand Prix,russell,1,1,14:06:18,1581.238,True
2024,4,Japanese Grand Prix,hulkenberg,1,1,14:06:21,1580.886,True
2024,4,Japanese Grand Prix,bottas,1,1,14:06:22,1582.542,True
2024,4,Japanese Grand Prix,tsunoda,1,1,14:06:25,1584.553,True
2024,4,Japanese Grand Prix,ocon,1,1,14:06:28,1586.095,True
2024,4,Japanese Grand Prix,gasly,1,1,14:06:30,1586.793,True
2024,4,Japanese Grand Prix,stroll,1,1,14:06:35,1585.911,True
2024,4,Japanese Grand Prix,kevin_magnussen,1,1,14:06:40,1584.63,True
2024,4,Japanese Grand Prix,sargeant,1,1,14:06:43,1585.267,True
2024,4,Japanese Grand Prix,zhou,1,1,14:06:50,1582.912,True
2024,4,Japanese Grand Prix,hulkenberg,2,5,14:40:46,23.622,False
2024,4,Japanese Grand Prix,bottas,2,6,14:42:21,24.824,False
2024,4,Japanese Grand Prix,tsunoda,2,7,14:43:59,23.358,False
2024,4,Japanese Grand Prix,zhou,2,7,14:44:07,23.91,False
2024,4,Japanese Grand Prix,norris,2,11,14:50:21,23.049,False
2024,4,Japanese Grand Prix,zhou,3,11,14:51:01,26.653,False
2024,4,Japanese Grand Prix,piastri,2,12,14:52:06,23.42,False
2024,4,Japanese Grand Prix,stroll,2,12,14:52:17,23.358,False
2024,4,Japanese Grand Prix,alonso,2,13,14:53:43,22.998,False
2024,4,Japanese Grand Prix,perez,2,15,14:56:51,22.99,False
2024,4,Japanese Grand Prix,sainz,2,15,14:56:55,23.136,False
2024,4,Japanese Grand Prix,max_verstappen,2,16,14:58:23,23.177,False
2024,4,Japanese Grand Prix,gasly,2,16,14:59:18,23.844,False
2024,4,Japanese Grand Prix,ocon,2,19,15:04:11,23.394,False
2024,4,Japanese Grand Prix,russell,2,22,15:08:39,23.577,False
2024,4,Japanese Grand Prix,kevin_magnussen,2,22,15:09:03,26.198,False
2024,4,Japanese Grand Prix,sargeant,2,22,15:09:04,25.53,False
2024,4,Japanese Grand Prix,bottas,3,22,15:09:04,25.946,False
2024,4,Japanese Grand Prix,tsunoda,3,22,15:09:05,23.486,False
2024,4,Japanese Grand Prix,stroll,3,22,15:09:06,23.238,False
2024,4,Japanese Grand Prix,hamilton,2,23,15:10:21,23.333,False
2024,4,Japanese Grand Prix,leclerc,2,26,15:15:01,23.285,False
2024,4,Japanese Grand Prix,norris,3,26,15:15:02,23.232,False
2024,4,Japanese Grand Prix,piastri,3,32,15:25:00,22.848,False
2024,4,Japanese Grand Prix,gasly,3,32,15:26:03,23.102,False
2024,4,Japanese Grand Prix,perez,3,33,15:26:18,22.956,False
2024,4,Japanese Grand Prix,alonso,3,33,15:26:33,23.157,False
2024,4,Japanese Grand Prix,hulkenberg,3,33,15:27:22,23.993,False
2024,4,Japanese Grand Prix,ocon,3,33,15:27:33,24.181,False
2024,4,Japanese Grand Prix,max_verstappen,3,34,15:27:43,23.234,False
2024,4,Japanese Grand Prix,sargeant,3,34,15:29:04,24.22,False
2024,4,Japanese Grand Prix,stroll,4,34,15:28:58,22.911,False
2024,4,Japanese Grand Prix,sainz,3,36,15:31:14,23.591,False
2024,4,Japanese Grand Prix,russell,3,37,15:33:07,22.991,False
2024,4,Japanese Grand Prix,hamilton,3,39,15:36:25,23.956,False
2024,4,Japanese Grand Prix,sargeant,4,41,15:41:24,23.287,False
2024,5,Chinese Grand Prix,hulkenberg,1,8,15:17:30,23.004,False
2024,5,Chinese Grand Prix,tsunoda,1,8,15:17:35,23.16,False
2024,5,Chinese Grand Prix,zhou,1,8,15:17:39,23.362,False
2024,5,Chinese Grand Prix,stroll,1,9,15:19:10,23.823,False
2024,5,Chinese Grand Prix,bottas,1,9,15:19:12,22.949,False
2024,5,Chinese Grand Prix,ocon,1,9,15:19:14,23.156,False
2024,5,Chinese Grand Prix,albon,1,9,15:19:15,23.273,False
2024,5,Chinese Grand Prix,hamilton,1,9,15:19:19,22.518,False
2024,5,Chinese Grand Prix,alonso,1,11,15:22:28,23.049,False
2024,5,Chinese Grand Prix,russell,1,11,15:22:32,22.415,False
